Date,Time,Topic,Message
2019-11-24,14:59:25,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1985387 1576325428523 
1985733 1576325428564 
1986486 1576325428604 
1987503 1576325428645 
1989504 1576325428684 
1989504 1576325428724 
1991317 1576325428765 
1993742 1576325428805 
1994761 1576325428846 
2000778 1576325428886 
2000778 1576325428924 
1997861 1576325428964 
2104648 1576325429004 
2008706 1576325429045 
2014320 1576325429085 
2014320 1576325429125 
1996358 1576325429168 
2004077 1576325429204 
2003396 1576325429245 
2004735 1576325429284 
"
2019-11-24,14:59:25,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2004735 1576325429324 
2005189 1576325429365 
2007823 1576325429404 
2007347 1576325429445 
2006972 1576325429485 
2006972 1576325429524 
2007901 1576325429564 
2008336 1576325429606 
2011099 1576325429645 
2012195 1576325429684 
2012195 1576325429736 
2009479 1576325429764 
2008922 1576325429804 
2008980 1576325429845 
2008668 1576325429884 
2008668 1576325429924 
2009014 1576325429964 
2009219 1576325430003 
2003019 1576325430044 
1992774 1576325430084 
"
2019-11-24,14:59:26,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1992774 1576325430124 
1996301 1576325430165 
2001303 1576325430205 
2002210 1576325430245 
1999792 1576325430285 
1999792 1576325430325 
1997096 1576325430364 
1996848 1576325430405 
1976517 1576325430445 
1939977 1576325430484 
1939977 1576325430524 
1902744 1576325430564 
1900108 1576325430604 
2000144 1576325430644 
1975167 1576325430684 
1975167 1576325430723 
2011528 1576325430764 
2091923 1576325430804 
2179236 1576325430844 
2220625 1576325430884 
"
2019-11-24,14:59:27,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2220625 1576325430925 
2229046 1576325430966 
2228179 1576325431004 
2226932 1576325431046 
2226938 1576325431086 
2226938 1576325431125 
2232580 1576325431165 
2253561 1576325431205 
2308611 1576325431245 
2258447 1576325431285 
2258447 1576325431324 
2197879 1576325431373 
2163104 1576325431405 
2165079 1576325431445 
2143315 1576325431484 
2143315 1576325431524 
2191750 1576325431564 
2219334 1576325431604 
2174764 1576325431645 
2133101 1576325431684 
"
2019-11-24,14:59:28,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2133101 1576325431724 
1941385 1576325431767 
1942026 1576325431806 
2004657 1576325431846 
2015372 1576325431886 
2015372 1576325431925 
2015713 1576325431975 
1997455 1576325432005 
1915448 1576325432046 
1908041 1576325432085 
1908041 1576325432125 
1958687 1576325432164 
2017486 1576325432205 
2056814 1576325432246 
2100508 1576325432284 
2100508 1576325432324 
2173432 1576325432364 
2187741 1576325432404 
2190516 1576325432445 
2195076 1576325432485 
"
2019-11-24,14:59:29,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2195076 1576325432524 
2197912 1576325432566 
2179809 1576325432607 
2042789 1576325432646 
1861760 1576325432686 
1861760 1576325432726 
1857976 1576325432770 
1849685 1576325432805 
1872212 1576325432846 
1906998 1576325432886 
1906998 1576325432925 
1959661 1576325432965 
1957087 1576325433004 
1931586 1576325433045 
1875650 1576325433086 
1875650 1576325433125 
1865549 1576325433165 
1863160 1576325433205 
1858136 1576325433246 
1838460 1576325433285 
"
2019-11-24,14:59:29,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1838460 1576325433326 
1811915 1576325433367 
1786203 1576325433406 
1774383 1576325433449 
1767255 1576325433486 
1767255 1576325433527 
1761557 1576325433567 
1773591 1576325433605 
1775488 1576325433646 
1775976 1576325433686 
1775976 1576325433736 
1776242 1576325433765 
1776145 1576325433806 
1775885 1576325433845 
1776914 1576325433885 
1776914 1576325433925 
1797746 1576325433965 
1859601 1576325434004 
1922529 1576325434046 
1939144 1576325434085 
"
2019-11-24,14:59:30,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1939144 1576325434125 
1920054 1576325434166 
1847052 1576325434206 
1834547 1576325434247 
1831227 1576325434287 
1831227 1576325434326 
1835888 1576325434370 
1835867 1576325434407 
1835850 1576325434446 
1834897 1576325434493 
1834897 1576325434526 
1834781 1576325434565 
1835325 1576325434605 
1835782 1576325434646 
1837105 1576325434685 
1837105 1576325434725 
1838119 1576325434766 
1838063 1576325434805 
1943190 1576325434846 
1990375 1576325434886 
"
2019-11-24,14:59:31,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1990375 1576325434926 
1998314 1576325434966 
2014724 1576325435006 
1999819 1576325435047 
1947701 1576325435086 
1947701 1576325435127 
1908851 1576325435167 
1934732 1576325435209 
1956627 1576325435247 
1991864 1576325435288 
1991864 1576325435327 
1982330 1576325435367 
1965848 1576325435406 
1942572 1576325435447 
1914838 1576325435486 
1914838 1576325435525 
1876850 1576325435573 
1835599 1576325435606 
1807045 1576325435646 
1798360 1576325435692 
"
2019-11-24,14:59:32,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1798360 1576325435726 
1796783 1576325435767 
1797032 1576325435807 
1795209 1576325435848 
1826545 1576325435887 
1826545 1576325435937 
1868276 1576325435967 
1882359 1576325436006 
1884063 1576325436047 
1882195 1576325436086 
1882195 1576325436126 
1879578 1576325436166 
1880210 1576325436206 
1883674 1576325436246 
1885546 1576325436286 
1885546 1576325436327 
1887216 1576325436366 
1877113 1576325436406 
1864982 1576325436447 
1857060 1576325436486 
"
